id,first_name,last_name,slack_handle
1,Brenda,Leblanc,bleblanc0
2,Tonia,Cheater,tcheater1
3,Lannie,Kemmey,lkemmey2
4,Washington,Bearcock,wbearcock3
5,Jaquith,Writtle,jwrittle4
6,Aurora,Peedell,apeedell5
7,Hort,Touhig,htouhig6
8,Kaylil,Bruckenthal,kbruckenthal7
9,Trevar,Pimley,tpimley8
10,Haydon,Cubbit,hcubbit9
11,Indira,Pakes,ipakesa
12,Orsa,Matys,omatysb
13,Vern,Marfe,vmarfec
14,Timmi,Lanchbury,tlanchburyd
15,Eddy,Mattiessen,emattiessene
16,Melessa,Walden,mwaldenf
17,Pierson,Gurdon,pgurdong
18,Annalee,Inglish,ainglishh
19,Vidovik,Have,vhavei
20,Vincents,Witter,vwitterj
